end,start,tweet_count
2021-11-02T00:00:00.000Z,2021-11-01T00:00:00.000Z,138498
2021-11-03T00:00:00.000Z,2021-11-02T00:00:00.000Z,88621
2021-11-04T00:00:00.000Z,2021-11-03T00:00:00.000Z,53148
2021-11-05T00:00:00.000Z,2021-11-04T00:00:00.000Z,54606
2021-11-06T00:00:00.000Z,2021-11-05T00:00:00.000Z,47726
2021-11-07T00:00:00.000Z,2021-11-06T00:00:00.000Z,64812
2021-11-08T00:00:00.000Z,2021-11-07T00:00:00.000Z,78984
2021-11-09T00:00:00.000Z,2021-11-08T00:00:00.000Z,74188
2021-11-10T00:00:00.000Z,2021-11-09T00:00:00.000Z,51366
2021-11-11T00:00:00.000Z,2021-11-10T00:00:00.000Z,42847
2021-11-12T00:00:00.000Z,2021-11-11T00:00:00.000Z,57487
2021-11-13T00:00:00.000Z,2021-11-12T00:00:00.000Z,44835
2021-11-14T00:00:00.000Z,2021-11-13T00:00:00.000Z,39768
2021-11-15T00:00:00.000Z,2021-11-14T00:00:00.000Z,61288
