tweet,score
"['want', 'hang', 'friend', 'soon']",1.0
['agre'],1.0
"['wonder', ""i'm"", 'awak', 'write', 'new', 'song', 'plot', 'evil', 'secret', 'plot', 'muahahaha', '...', 'oh', 'damn', 'secret', 'anymor']",1.0
"['mmm', 'much', 'better', 'day', '...', 'far', 'still', 'quit', 'earli', 'last', 'day', 'ud']",1.0
"['gonna', 'first', 'twitter', ';)', 'caus', 'amaz', 'lol', 'come', 'canada', 'would', 'anyth', 'see', 'perform']",1.0
"['bed', '...', 'sorta', 'today', 'good', 'sara', 'strep', 'thought', 'angelina', 'share', 'water', 'b', 'told', 'prob', 'get']",1.0
"['great', 'see', 'oin', 'cynthia', 'happi', 'dinner', 'great', 'cute', 'littl', 'place', 'bad', 'oin', 'got', 'sick', 'afterward']",1.0
"['dude', 'favorit', 'sandwich', 'place', 'ever', 'ummm', 'take', 'pictur']",1.0
"['correct', 'ador', 'pluck', 'put', 'arm', 'cuz', 'cryin', 'better', 'hahaha']",1.0
"['sound', 'good', 'appreci', 'suggest', 'week', ""we'r"", 'still', 'offlin', 'time', 'ask', 'refund', '...']",1.0
"['need', 'pack', 'cali', 'cali', 'cannot', 'waittt', 'think', 'glass', 'wine', 'order', 'celebr', 'weekend', 'vaca', 'still', 'work', 'morrow', 'tho']",1.0
"['pat', 'philli', 'love', 'mmm', 'cheesesteak', 'miss', 'boyfriend', 'love', 'vacat']",1.0
"[""i'm"", 'work']",1.0
"['rip', 'leonardo', 'great', 'mini', 'fiddler', 'crab']",1.0
"['thank', 'neemah', ""i'm"", 'gonna', 'sooo', 'close', 'izzi', 'yet', 'far']",1.0
"['get', 'memo', 'look', 'amaz']",1.0
"['omg', 'ur', 'aliv', 'lol', 'day', 'gone', 'sooo', 'slow', ""i'm"", 'go', 'insan', 'grrr', 'anyth', 'tonight']",1.0
"['get', 'california', 'vintag', 'ahahah', 'best', 'dress', 'want', 'dont', 'ebay']",1.0
"['umm', 'yeah', ""that'"", 'probabl', 'pretti', 'good', 'note', 'self', 'eeewww']",1.0
"['miss', 'game']",1.0
"['done', 'paint', 'bedroom', 'furnitur', 'still', 'tabl', 'wait', 'move', 'uggh', 'move', 'heat']",1.0
"['took', 'math', 'test', 'today', 'day', 'test', 'teacher', 'say', 'bring', 'calcul', 'luke', 'confid', 'teacher', 'decid', 'calc']",1.0
"['omg', 'concert', 'awesom', 'madrig', 'gave', 'chill', 'almost', 'everi', 'piec', '...', 'brook', 'also', 'call', 'alumni', 'didnt', 'get', 'go']",1.0
"['minut', 'treadmil', 'done', 'minut', 'today', 'alreadi', 'gonna', 'minut']",1.0
"['chillin', 'roomi', ""can't"", 'wait', 'zombi', 'clwn', 'cr', 'gonna', 'week']",1.0
"[""that'"", 'awesom', 'weekend', ""can't"", 'go', ""i'm"", 'move', 'sat', 'lot', 'fun', 'though']",1.0
"['kno', 'dooo', 'yall', 'partyin']",1.0
"['spill', 'beer', 'leg', 'wast', 'half', 'beer', 'home', 'met', 'cute', 'girl', 'good', 'convers']",1.0
