tweet_id,content,target
1956967789,wants to hang out with friends SOON!,1.0
1956971170,@annarosekerr agreed,1.0
1956972097,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",1.0
1956977084,mmm much better day... so far! it's still quite early. last day of #uds,1.0
1956977187,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,1.0
1956981427,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",1.0
1956983874,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",1.0
1956985535,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",1.0
1956989093,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,1.0
1956996385,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,1.0
1956996765,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",1.0
1956998370,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,1.0
1957001506,I'm at work,1.0
1957001854,RIP leonardo. You were a great mini fiddler crab,1.0
1957002773,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",1.0
1957005696,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,1.0
1957007268,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,1.0
1957007437,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",1.0
1957010329,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,1.0
1957013804,@bobbyedner i missed the game,1.0
1957014389,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",1.0
1957017522,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",1.0
1957017595,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",1.0
1957020385,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",1.0
1957020702,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,1.0
1957031859,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,1.0
1957033043,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,1.0
1957035564,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,1.0
1957037860,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",1.0
1957045692,english class! working on interactive orals,1.0
1957053409,is home.  safely... but hungry,1.0
1957055981,FB is boring   and i wanna sing RIGHT NOW..! *-*,1.0
1957058504,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,1.0
1957059587,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,1.0
1957062621,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",1.0
1957062698,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!,1.0
1957065570,"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward...",1.0
1957066701,I want another tatt,1.0
1957067779,"So, I need to make a lot of money tomorrow",1.0
1957072400,Pug just woke me from an incredible sleep!,1.0
1957072637,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,1.0
1957073668,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun,1.0
1957075268,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol,1.0
1957076450,there's really no android twitter app of Tweetie's calibre,1.0
1957079355,"i should be finished.... but i'm not.  color drawing, here i come.",1.0
1957083084,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",1.0
1957086137,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",1.0
1957088179,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",1.0
1957089386,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.,1.0
1957089465,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",1.0
1957093069,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,1.0
1957093096,one week till exam block,1.0
1957097730,@calvinharris stop talkin about food haha fill like sum nw  hha hows your day goin or starting,1.0
1957101953,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year,1.0
