content,target
@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,0.0
Layin n bed with a headache  ughhhh...waitin on your call...,0.0
Funeral ceremony...gloomy friday...,0.0
wants to hang out with friends SOON!,1.0
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",0.0
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,0.0
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",0.0
Hmmm. http://www.djhero.com/ is down,0.0
@charviray Charlene my love. I miss you,0.0
@kelcouch I'm sorry  at least it's Friday?,0.0
cant fall asleep,0.0
Choked on her retainers,0.0
Ugh! I have to beat this stupid song to get to the next  rude!,0.0
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,0.0
Got the news,0.0
The storm is here and the electricity is gone,0.0
@annarosekerr agreed,1.0
So sleepy again and it's not even that late. I fail once again.,0.0
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,0.0
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,0.0
@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,0.0
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",1.0
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,0.0
I ate Something I don't know what it is... Why do I keep Telling things about food,0.0
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,0.0
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,0.0
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",0.0
Damm servers still down  i need to hit 80 before all the koxpers pass me,0.0
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,0.0
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,0.0
It is so annoying when she starts typing on her computer in the middle of the night!,0.0
@cynthia_123 i cant sleep,0.0
I missed the bl***y bus!!!!!!!!,0.0
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,0.0
SoCal!  stoked. or maybe not.. tomorrow,0.0
Screw you @davidbrussee! I only have 3 weeks...,0.0
@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,0.0
I need skott right now,0.0
has work this afternoon,0.0
@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,0.0
mmm much better day... so far! it's still quite early. last day of #uds,1.0
@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,1.0
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,0.0
Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,0.0
@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,0.0
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",0.0
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",0.0
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,0.0
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",0.0
wnna take a bath!!!!,0.0
Chocolate milk is so much better through a straw. I lack said straw,0.0
why am i so tired?,0.0
@djmicdamn hey yu lil fucker i textd yu,0.0
"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",0.0
@benballer  no way! damn that sucks B!  are you ok?,0.0
sucks not being able to take days off of work or have the money to take the trip  so sad,0.0
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",1.0
@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,0.0
@lostluna But I got dibs on Sulu...,0.0
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",0.0
@itsgabbith at once haha.  poor aby still gets sore!,0.0
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,0.0
I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,0.0
@Pokinatcha  in all honesty...pain   blech.,0.0
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,0.0
At home alone with not much to do,0.0
@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,0.0
@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,0.0
So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,0.0
"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",1.0
I cant give @jertronic any bday nudges.,0.0
...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',0.0
Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,0.0
says I miss plurking.  http://plurk.com/p/wxion,0.0
"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",0.0
I miss Voobys!,0.0
@Dancing_Monk Neither are ELP!!,0.0
"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",1.0
is sad that shin ae got married...and it wasn't to alex,0.0
"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",0.0
@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,0.0
there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,0.0
"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",0.0
"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",0.0
@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,0.0
fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,0.0
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,0.0
@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,0.0
I can't sleep...I keep thinking about the puppy I played with today,0.0
.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,0.0
@lepetitagneau what's going on sweetheart?,0.0
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",0.0
"Last one month due to summer, strawberry is not availble in the Chennai markets!",0.0
@willxxmobb work at 6am. Gotta go to bed soon,0.0
@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,1.0
@sweeetnspicy hiii im on my ipod...i cant fall asleep,0.0
dont wanna work 11-830 tomorrow  but i get paid,0.0
feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,0.0
PrinceCharming,0.0
@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,0.0
First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),0.0
@mrgenius23 You win ... SIGH Rakeem,0.0
Oh is that time for real?,0.0
Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,0.0
Oh no one minute too late! Oh well,0.0
"@soviet_star Damn, that sucks",0.0
@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,0.0
@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,0.0
ahh! big scary bug flying around my room!!!!!,0.0
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",0.0
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,0.0
@justamedicine  That was stone cold   Crazy....  ?,0.0
i'm so tired,0.0
shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,0.0
@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,0.0
@thecreativeone I second that. I wish it rained more where I am,0.0
@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,0.0
damn it were is Eric or anyone else when you need your hair to be played with,0.0
I'm feel deflated. Ugh. No more dog.,0.0
Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,0.0
Well it almost was a good day... Guess I just retry tomorrow,0.0
@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,0.0
@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,1.0
"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",0.0
@britblackbird  youstinkatrespondingtotexts!,0.0
wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,0.0
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",1.0
Is miserable  i feel like im gona cry  sux!,0.0
@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,0.0
$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,0.0
"claire @breakfastnt love the show, got into the office @ 5am and no radio",0.0
Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,1.0
*sigh* I'm going to bed... I just don't feel right anymore...,0.0
What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,0.0
@jwillock EpiCentre Wheelock Place - tourists only..,0.0
Now I am depressed after watching so you think you can dance,0.0
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",0.0
miss 16'th,0.0
"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",0.0
"I cant sleep, but im too sore to move",0.0
@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,0.0
@softtouchme just answered you- never learned how to write in French- just basic stuff-,0.0
what is it with chocolates? i just can never say no,0.0
Achieving a new appreciation on how a xml build script can really be painful and cumbersome,0.0
@ether_radio i'm too awake now  ill have a nap this afternoon,0.0
@omfgiselle i cant do anything,0.0
still needs another 6 hours of sleep,0.0
I'm at work,1.0
RIP leonardo. You were a great mini fiddler crab,1.0
"Morning tweeple,way to early again",0.0
"Last day working for the Uni today, sad times",0.0
"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",1.0
My head hurts so bad I could scream!,0.0
i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,0.0
New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,0.0
New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,0.0
"where are all ma bestfriends at ? , MIA or wat ?",0.0
oh men!!!!!!......I really can't see my face........c'mon guys!!!,0.0
"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",0.0
my sole supporter is not my sole supporter,0.0
don't you hate it when you finish all your work and there's still 1.25 hours left of work time,0.0
@Emilyyy16 urgh stop it guys,0.0
is still missing her husband.    I really want him home.,0.0
I miss my puppy,0.0
"2 days of this month left, and I only have 400MB left on my onpeak downloads.",0.0
@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,1.0
@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),0.0
Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,0.0
@BarbSchaefer yearling in pet home died... very sad for their whole family,0.0
fun in the sun hmmm hell no it's cold,0.0
I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,0.0
"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",0.0
is feeling sad... for some reason..  http://plurk.com/p/wxji3,0.0
well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,0.0
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,0.0
@juneyee i don't think so.  I WANT DETAILS.,0.0
@jackgraycnn Hi...!!! Who is Mary Poppins???,0.0
"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",0.0
my last tweet didn't send  bad phone,0.0
@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,1.0
Have a headache  I'm going to bed. Goodnight!,0.0
@taxidermi  I was watching Parental Control,0.0
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",1.0
I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,0.0
@jertronic it wont let me,0.0
Took a shift tomorrow.    I don't really feel like working right now.,0.0
but now i have no money for a phone,0.0
Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,0.0
@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,0.0
@Bern_morley where are you? In Bris? I can't hear any thunder,0.0
"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",0.0
Too bad the Red Devils.. disappointing to say the least,0.0
I had a dream about a pretty pretty beach and there was no beach when I woke up,0.0
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",0.0
when da heck will the garage man get here I ask you.. WHEN..,0.0
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",0.0
@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,0.0
why are plane tickets so expensive,0.0
