created_at,id,tweet
2021-10-30 16:59:51+00:00,1454493263008829451,@RobinhoodApp @BoredApeYC @Sothebys @Tesla Where is #shib?
2021-10-30 16:59:47+00:00,1454493247057784835,"@truth_tesla @heydave7 @elonmusk @zshahan3 @garyblack00 @WholeMarsBlog @SawyerMerritt Wait what?
https://t.co/iWI4UIlwuS"
2021-10-30 16:59:47+00:00,1454493245598146566,@WalkerBragman Elon Musk’s Tesla did far more to advance the move to electric vehicles than any govt action has.
2021-10-30 16:59:42+00:00,1454493224102289410,Auto insurances should lower your rates if you hit a tesla
2021-10-30 16:59:37+00:00,1454493204380848133,"85 gas vehicles to talk about climate change and not 1 Tesla in sight, the irony! @elonmusk https://t.co/tMgkweBGd7 https://t.co/zYuLST3HEX"
2021-10-30 16:59:36+00:00,1454493200274632707,"@Im_Rightest @CarlSouchereau @benshapiro Absolutely true. But, Musk, for example, put up almost half his Tesla stock as collateral for personal loans he's used to buy mansions &amp; jets. So, he's living off his unrealized gains tax-free which is BS. We're moving from democracy to plutocracy"
2021-10-30 16:59:33+00:00,1454493185082859525,"@theschnell3 @ClemTheDood @perma_bear Tesla valuation $1.1T
Ford valuation $27B

Point still stands 😂"
2021-10-30 16:59:27+00:00,1454493161515069444,@irsiya247 @Hertz The wouldn’t be shocked if Tesla is the one who is backing Hertz to boost Tesla and Hertz stock’s.
2021-10-30 16:59:20+00:00,1454493131815231496,@abingos2 I drive a tesla myself and have since 2013. We just needed 3 rows
2021-10-30 16:59:11+00:00,1454493095853281289,Jay Leno: Elon Musk is the reason Tesla is the most valuable car company in the world https://t.co/aJb3XYlt6p
2021-10-30 16:59:09+00:00,1454493085359017992,"@DrRekha99 Currently, Elon Musk's net worth is $292 billion, which higher than Pakistan's GDP of $280 billion. Pakistan houses 220 million people. Elon Musk, the richest man in the world and celebrity CEO of Tesla, now has more money than the entire Gross Domestic Product or GDP of Pakistan"
2021-10-30 16:59:08+00:00,1454493082586697736,@paulbardash @cookie270883 @perma_bear Certainly not Teslas. We’ve had ours for 4 years and love it. Driven it around USA. It is our only car! I have no idea where you get your statistics but once we drove an EV we will NEVER go back. And I know all the Tesla folks I know feel the same way. https://t.co/ZbqZLY0QfT
2021-10-30 16:59:04+00:00,1454493064853078017,"@AnnaGE_ 85 gas vehicles to talk about climate change and not 1 Tesla in sight, the irony! @elonmusk"
2021-10-30 16:59:03+00:00,1454493061929705479,"$DATX #KUCOIN X100 next week 
  Very bullish chart
  partenered with #Tesla
  Buy &amp; Hodl, easy 1000x
#BNB $GDT $REEF $AXS $LCX $FTM $HMN $TRX $XVG $VRA $BCH $SOL $DOGE $LINK $AVAX $CEL $ANKR $MKR $LINK $VET $SAND $IOTX $DIA $AVAX $REQ https://t.co/iQ8RNvxWmW"
2021-10-30 16:58:51+00:00,1454493012395012102,"@TheTrut23932173 85 gas vehicles to chat about climate change and not 1 Tesla in sight, the irony! @elonmusk"
2021-10-30 16:58:51+00:00,1454493009853173760,@Techgnostik Read this and note the differences. This is NOT the same steering system implemented by Tesla;https://t.co/MBb2QpDQIU
2021-10-30 16:58:50+00:00,1454493007596695561,"""When criticized, consider the source."" Unknown #Tesla #TSLAQ 🚗 🌱(🦞) https://t.co/Tp4xbanMaE"
2021-10-30 16:58:47+00:00,1454492994644623362,@RocCityBuilt @EPoe187 @cover81 It seems to me that Tesla would’ve been better off if they had been more concerned about such risks when hiring. But its possible this calculus never makes its way to hiring managers
2021-10-30 16:58:42+00:00,1454492974071566345,@MikeMastoros @elonmusk @Tesla Same in Sweden and Norway. And what is  wrong with that?
2021-10-30 16:58:42+00:00,1454492973643694085,"$TSLA long target one hit at $1116.21,…Hope it helps#Tesla #TradeIdeas #StocksToBuy #Investing #TechnicalAnalysis #ThinkOrSwim https://t.co/3QWIuv58AQ"
2021-10-30 16:58:32+00:00,1454492931340087299,"@turmsi 85 gas vehicles to chat about climate change and not 1 Tesla in sight, the irony! @elonmusk"
