,attitude,tweets
2,negative,@francesco_con40 2nd worst QB. DEFINITELY Tony Romo. The man who likes to share the ball with everyone. Including the other team.
10,negative,@jacquelinemegan I\u2019m sorry\u002c I Heart Paris is no longer available at the Rockwell branch! You may call 8587000 to get a copy transferred! :)
19,negative,@prodnose is this one of your little jokes like Elvis playing at the Marquee  next Tuesday?
21,negative,Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday\u002c with investors waiting for... http://t.co/CiqFona1
25,negative,Monday before I leave Singapore\u002c I am going to post something that might be offensive.
31,negative,\u2019Love-cheat\u2019 Daniel Radcliffe splits with girlfriend Rosie Coker: London\u002c Oct 19: Daniel Radcliffe has split wit... http://t.co/ZVlsK2HQ
44,negative,Cardinal men take 4th in Cypress Point tournament: A good host never outshines their guests\u002c but the Stanford me... http://t.co/JJGPNolq
51,negative,@Duffy_Louise Nooooooo this Sunday is the last episode of Downton Abbey. :( There\u2019s a Christmas special coming but that\u2019s AGES away.
53,negative,I believe the snobish mainstream media\u002c ABC\u002c CBS\u002cNBC\u002c CNN\u002c MSNBC may get their comeupance this election. People r sick of their bias!
55,negative,Well if no ones going to school tomorrow then I guess I won\u2019t go :p
57,negative,Watching Contraband on the PVR & it\u2019s too frigging predictable to continue watching. Gonna go wash my hair. #friday
58,negative,@JoshNorris @Rotoworld_Draft I\u2019d be pretty mad if the Packers took Bernard in the 1st just bc\u002c Cooper/Eifert would be better IMO.
61,negative,Steal by Chalmers\u002c on the break away and is fouled by Garnett. That is his 3rd foul of this game. #Celtics #299COMM
76,negative,The Rick Santorum signing that was scheduled for tomorrow at the Books A Million in Exton\u002c PA has been CANCELLED due to the weather.
85,negative,@DannyB618 Sure absolutely-- I meant out of the Bachmann\u002c Perry\u002c Santorum\u002c Herman Cain bunch this election. And Romney was not my 1st choice
86,negative,@RichardGordon48 re Levein discussion on Wed. Can\u2019t keep changing boss\u002c but he is far too negative. Brazil gone\u002c new boss cud experiment.
94,negative,#pause I bet the clippers are gonna get in the Lakers ass Friday (today)
104,negative,Mitt Romney falsely claimed he saw his father march with Martin Luther King Jr.  http://t.co/QcSDqEyB Mitt Romney what won\u2019t you lie about?
110,negative,Firework just came on my tv and I just broke down and sat and cried\u002c I need help okay
111,negative,@TatiCuteAss you ain\u2019t gone do shit tomorrow we gone see chicken shit
112,negative,"""My great grandpa was gonna march with Dr. King but he said \""""nah man\u002c why march when I can finger these white bitches instead?\"""""""
120,negative,So Clattenburg\u2019s alleged racism may mean end of his career; Terry\u002c Suarez\u002c Rio use it and can\u2019t play for a couple of weeks? #consistency
122,negative,Pretty Little Liars is not back until the 8th of January!!! I\u2019m devastated
129,negative,The Philippines just passed a law worse than SOPA\u002c which actually criminalizes criticizing someone online. http://t.co/wUMX95vR
134,negative,@shockinglynaomi Sorry!! Still hope to see you in Los Angeles in February!! #NFTYConvention
137,negative,These past few weeks I haven\u2019t been excited about Scandal\u002c Grey\u2019s or fried chicken Thursday....this semester has shown me no mercy smh
138,negative,@edcfc73 cheers 4 the ticket ed 4 wednesday \u002cSteve looks a bit like Ricky gervais #ugly fucker
143,negative,@BooGotti_So1OO Girl Exactly But I\u2019m Mad Because They Pushed Gotti Date Back! But Fuck All That NOVEMBER 23 RVA!  Shawty how you acting??
145,negative,@CurtTheArcher1 The may have the best defense..but they still lost to the Packers
146,negative,Sad scenes about Underoath splitting. Off to Newcastle tomorrow for the weekend. Try catch the #arsenal game too. @jamiedurent if yr about
147,negative,Anybody at the Trib: where is Ike Taylor\u2019s Friday column? Sucks I can\u2019t find it. First one I\u2019ve actually looked forward to reading.
