,attitude,tweets
5,positive,Tim Tebow may be availible ! Wow Jerry \u002c what the heck you waiting for ! http://t.co/a7z9FBL4
6,positive,@mariakaykay aga tayo tomorrow ah. :) Good night\u002c Ces. Love you! >:D<
8,positive,Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back# http://t.co/Dbbj8xLZ
9,positive,SNC Halloween Pr. Pumped. Let\u2019s work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween
14,positive,Louis inspired outfit on Monday and Zayn inspired outfit today..4/5 done just need Harry  :)
17,positive,"""I love the banner that was unfurled in the United end last night. It read: \""""Chelsea - Standing up against racism since Sunday\"""""""
18,positive,#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U
20,positive,"""Gary Ablett wins the AFLPA MVP for the 4th time in his career. He should have started his speech with- \""""Yeah\u002c I\u2019d... http://t.co/K31dSryH"""
23,positive,Lana Del Rey at Hammersmith Apollo in May... Very badly want tickets
26,positive,ABC has @jaketapper \u002c and the Country Music Awards\u002c they may still have a little credibility come Wednesday. #tcot
27,positive,Here in the Philippines\u002c Its November 2 and I was like where\u2019s my phone?! What is the time in LONDON?! #Excited #LittleThngs @NiallOfficial
28,positive,Tonight Dr. Terrie Hale Scheckelhoff will be formally installed as the 11th Head of School. Welcome to the Saints family @TScheckelhoff!
32,positive,@solz_b He\u2019s a true Niners fan\u002c he brought it up in a interview during his 2nd season. :D
33,positive,Patriots Extend Lead\u002c Cruise into 4th with 38-7 Lead - Pats Pulpit: The Patriots extended their lead in the 3rd ... http://t.co/knFUZ5ak
34,positive,@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn\u2019t so bad. Probably should\u2019ve had ET
38,positive,Pretty Little Liars was the shit ! I can\u2019t wait til tomorrow ! I wanna see who all innocent & who got something to do with Allison dying !
39,positive,@MonicaGonzo Texas and Baylor both looked awesome last night. We are heading to the games tomorrow night.I say final is Texas/Baylor
41,positive,GREAT GAME GIRLS!! On to districts Monday at Fox!! Thanks to the fans for coming out :)
46,positive,#7FactsAboutMyBestFriend 17\u002c plays softball\u002c loves the Lakers\u002c she\u2019s a LA girl\u002c Junior\u002c Birthday September\u002c 15th & she loves her black boys!
48,positive,waking up to a Niners win\u002c makes Tuesday get off to a great start! 21-3 over the cards and 2 games clear in the NFC West.
49,positive,Contest Tomorrow! I will post a local Tucson property that is currently Active in the Tucson MLS. The first person... http://t.co/V55HsKTI
52,positive,@justinbieber im so excited even though i wont see you til novemeber 5th. oiershdjkfwle GOOD LUCK TONIGHT\u002c KIDRAUHL!
56,positive,Tom Brady wins AFC offensive player of the week for 22nd time http://t.co/gwjLE1k8 (via @ProFootballTalk)
60,positive,Very amaZAYN voice to the 1st verse man ZAYN MALIK! @zaynmalik xx
63,positive,"""Free to Watch!!! Justified: \""""Justified\"""" follows Marshal Raylan Givens\u002c a modern day 19th century-style lawman\u002c w... http://t.co/Lep5fnF1"""
65,positive,@drewbrees I admire the relationship U have with your family.  Lol iron man\u2019s a pretty suitable costume. Good Luck Monday Go Saints!
67,positive,Lance just left\u002c dinner with the fam was great. Managed to watch Napoleon Dynamite and The Devil Inside. Long story short: wonderful sunday.
68,positive,Come see the David Bowie tribute show I\u2019m in @ King King\u002c H\u2019wood\u002c Nov 4 & 5 (my b\u2019day). 6 singers/dancers\u002c 6 pc band - killin!
69,positive,Your like Jordan\u2019s on a Saturday I got to have you and I cannot wait. .
74,positive,Up 20 points in my money league with Vernon Davis and L. Fitz still to go tomorrow. Thats what I like to see
75,positive,DEEJAYING this FRIDAY in THE FIRST CHOP it\u2019s CHRIS actual SMITH with a smashing mish mashing of TUNES from Stoke... http://t.co/N3W1Dkrv
88,positive,Hustle cause you got to then kick back n party everyday like its Fri
90,positive,I can\u2019t sleep. Way too exited about Vancouver tomorrow! I\u2019m like a kid at Christmas.
92,positive,Entertainment: Tina Fey and Amy Poehler are hosting the Golden Globes\u002c airing Jan 13. Get ready for a night full of laughs!! -Ashley&Alyssa
96,positive,@h0tlikepayne: It\u2019s #confirmed that you can listen to the deluxe version of TMH on ITunes 9pm GMT on Nov 5th\u002c Monday.
98,positive,Busy day tomorrow\u002c staging at bliss instead of sustenio!! Both very cool places. And my last night in Texas. Its gonna be great! :)
102,positive,Thursday night is reserved for comedys on NBC\u002c FX and tonight\u002c NFL Network.
105,positive,http://t.co/hZOrJG6W Its going down in #DeathValley this Saturday! Geaux Tigers @LSUfball @JacobHester22 @LSUCoachMiles
106,positive,Get to see my big sis sunday and watch the Packers game! #missher @Laurrr_Miller
107,positive,Not only is @MzMandyTugz home from China\u002c she\u2019s in LA...I called her and screamed Mandyyyyyyyyyyyyy...I\u2019m gonna hug her for 2 hrs tomorrow!
109,positive,Going to Singapore tonight :) Excited for Skyfall + penny boarding tomorrow!
114,positive,Watching Napoleon Dynamite with @katyholzzz = best Friday night ever! #throwback
117,positive,Bama maintains the longest active unbeaten streak as they march (again) to the national title. ROLL TIDE!
121,positive,@ZulaGp @misstoyaj Watching this great interview with Ava Duvernay-new film coming out Fri. with the beautiful Nigerian actor from Red Tails
123,positive,i like how each Friday the announcers hype how Alabama can be beat and each Monday state how Alabama is still number one...
128,positive,"""Thanking all my lucky stars. (no Madonna) \""""With the sun in the mornin\u2019 & the moon in the evenin\u2019 I\u2019m alright.\"""""""
130,positive,"""Emile Heskey has sure started his A-League career well. 4 goals in 3 games! May it continue. \""""Match Stats http://t.co/SUCqdSM3"""
136,positive,@emmasq Gary Ablett has to be a #Monty surely. A lot of losses\u002c but clearly best and most influential player in the #AFL #Jobe & Thommo 2nd
139,positive,@Real_Liam_Payne i\u2019ll be in london\u002c within zayn\u2019s birthday the 12th of january meet you there hahaaha DREAMS AND IMAGINATION OF MINE ..
148,positive,Get pumped for the new season of Justified!! #january
150,positive,#7ThingsAboutMyBestFriend 1.She is in love with Zayn Malik and Beau Brooks 2.Ive known her since 5th grade(; 3.She is so tiny!
151,positive,I hope anderson starts tomorrow\u2019s game he did very against chelsea
152,positive,@ZackRyder Look forward to seeing you in Newcastle tomorrow night! I\u2019ll be front row wearing a Broski t-shirt! #WWWYKI
156,positive,New series of Greys Anatomy starts on 07 November - one good thing about winter is the return of the best US shows! #nightsinfrontofthetelly
157,positive,Jerred tomorrow followed by a day of nothing but xbox sounds great. Then next Friday. So much excite.
158,positive,"""@ricxymartinez \""""wicked\"""" welcome to new england! Are you still in boston? Im going to mass tomorrow to my friends house"""
162,positive,Is Demba Ba Sunderlands 2nd top scorer\u002c I believe he is. #Thunlun
163,positive,#Hawks fam\u002c twitpic your Halloween costume to win a pair of tickets to see the Hawks defeat the Rockets this Friday @ATolliver44
166,positive,@JulesHolman Dear one was driving from Newcastle. Sunday? So glad @NorelleFeeehan liked it - it was great to meet you Norelle!
171,positive,Off to Anfield on Sunday for LFC vs Newcastle with @willslater99 #excited
