end_time,start_time,created_date,weekday,tweet_count
2021-11-02T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-01,Monday,138498
2021-11-03T00:00:00.000Z,2021-11-02T00:00:00.000Z,2021-11-02,Tuesday,88621
2021-11-04T00:00:00.000Z,2021-11-03T00:00:00.000Z,2021-11-03,Wednesday,53148
2021-11-05T00:00:00.000Z,2021-11-04T00:00:00.000Z,2021-11-04,Thursday,54606
2021-11-06T00:00:00.000Z,2021-11-05T00:00:00.000Z,2021-11-05,Friday,47726
2021-11-07T00:00:00.000Z,2021-11-06T00:00:00.000Z,2021-11-06,Saturday,64812
2021-11-08T00:00:00.000Z,2021-11-07T00:00:00.000Z,2021-11-07,Sunday,78984
2021-11-09T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-08,Monday,74188
2021-11-10T00:00:00.000Z,2021-11-09T00:00:00.000Z,2021-11-09,Tuesday,51366
2021-11-11T00:00:00.000Z,2021-11-10T00:00:00.000Z,2021-11-10,Wednesday,42847
2021-11-12T00:00:00.000Z,2021-11-11T00:00:00.000Z,2021-11-11,Thursday,57487
2021-11-13T00:00:00.000Z,2021-11-12T00:00:00.000Z,2021-11-12,Friday,44835
2021-11-14T00:00:00.000Z,2021-11-13T00:00:00.000Z,2021-11-13,Saturday,39768
2021-11-15T00:00:00.000Z,2021-11-14T00:00:00.000Z,2021-11-14,Sunday,61288
